"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"MushUp","SPARK","Canada (Québec)","café en grains ou moulu","Café aux champignons infusé dans le grain","2 — Cafés artificiellement enrichis","Arabica bio et équitable, origines Pérou et Sidamo","Reishi; Lion's Mane","dose de champignons non publiée; sacs 250 g à 2,5 kg","non publiée","22,99 CAD / 250 g","non, marché Canada; devise EUR disponible mais expédition à confirmer","contact partenaire: info@mushup.ca","https://mushup.ca/en/products/duo-spark-lionsmane-reishi","B","Technique propriétaire incorporant les extraits directement aux grains; triple extraction annoncée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café à préparer (goût café)","Pérou","non publié","5 kg","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi","2","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","moudre puis préparer comme un café classique","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Shyne","Lion's Mane Coffee / Rising Star","Canada","poudre instantanée crémeuse","Café aux champignons","2 — Cafés artificiellement enrichis","café instantané bio équitable de Papouasie-Nouvelle-Guinée","Lion's Mane; crème avoine-coco; sucre d'érable","6 g; 500 mg de Lion's Mane; 30 portions","65–75 mg","52 CAD achat ponctuel; 29 CAD premier abonnement puis 39 CAD","non, expédition Canada","programme public: https://shynecoffee.ca/affiliates","https://shynecoffee.ca/product/lions-mane-coffee","A","Extrait double incluant mycélium et corps fructifère; 2 g de sucres par tasse.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","65","75","modérée (51–100 mg)","Lion's Mane","1","mixte: corps fructifère et mycélium","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","sucre présent","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Rainbo","Fungki Mushroom Coffee","Canada","poudre instantanée","Café aux champignons et plante adaptogène","2 — Cafés artificiellement enrichis","cold brew café faible acidité + café décaféiné","Lion's Mane; Reishi; éleuthérocoque; sel rose","3 000 mg de champignons par portion","44 mg","à partir de 66 CAD; 112 CAD affichés selon lot","non, marché Canada","programme public non identifié; contact marque","https://rainbo.ca/products/fungki-coffee","A","Extraits bio issus uniquement du corps fructifère; base cold brew faible acidité.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","44","44","faible (≤ 50 mg)","Lion's Mane; Reishi","2","corps fructifère annoncé","extraits; méthode exacte à archiver","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","bio et contrôle qualité annoncés; rapport à archiver","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","Dose totale, caféine et partie de champignon revérifiées."
"DODJIVI","4 Protection Instant Organic Mushroom Coffee","Canada","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","café Arabica colombien","Lion's Mane; Chaga; Turkey Tail; Reishi","250 mg de chaque champignon; 1 000 mg total; 18 ou 45 portions","59 mg","23,39–44,99 CAD","non, marché Canada; site français disponible","programme public non identifié; info@dodjivi.com","https://www.dodjivi.com/products/4-in-1-chaga-and-lions-mane-mushroom-coffee","A","Sans sucre, édulcorant ni additif annoncé; champignons bio cultivés au Canada.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","45","non publié","59","59","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Turkey Tail","4","non publiée","non publiée","non publié","non publié","non publié","non publié","sans sucre annoncé","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"DODJIVI","Vitality Instant Organic Mushroom Coffee","Canada","poudre instantanée","Café champignon et plantes multi-actifs","2 — Cafés artificiellement enrichis","café Arabica colombien","Reishi; Panax ginseng; figue de Barbarie; lotus; guarana; thé vert; L-carnitine; Garcinia","dose des actifs non publiée; 18, 21 ou 45 portions","64 mg","27,99 CAD affichés","non, marché Canada","programme public non identifié; info@dodjivi.com","https://www.dodjivi.com/products/vitality-mushroom-coffee","A","Présence de plusieurs sources stimulantes; ligne distincte du produit 4 Protection.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Colombie","45","non publié","64","64","modérée (51–100 mg)","Reishi","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Urban Calm Coffee","Dreamer / Onward / Centered / Lioness","Canada (Calgary)","grains, moulu ou K-Cups","Café aux champignons ciblés","2 — Cafés artificiellement enrichis","Arabica de spécialité colombien torréfié au Canada","combinaisons de deux parmi Lion's Mane, Reishi, Chaga, Cordyceps","dose de champignons non publiée; sac 340 g","environ 70 mg / 8 oz selon gamme","24,99 CAD / sac; K-Cups dès 19,99 CAD","non, expédition Canada","programme public non identifié; contact marque","https://urbancalmcoffee.ca/collections/mushroom-coffee","A","Corps fructifères bio; quatre profils fonctionnels et formats café traditionnels. Une autre page instantanée mentionne 50 mg et cinq champignons: vérifier la gamme exacte avant publication.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café en capsule","Colombie","non publié","0 g","70","70","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps","4","corps fructifère annoncé","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Shroomy","Shroomy Coffee","Canada","poudre instantanée à confirmer","Café aux champignons, plante et adaptogène","2 — Cafés artificiellement enrichis","café réel annoncé, base détaillée non publiée","Lion's Mane; Cordyceps; Ashwagandha","dose non publiée","non publiée","prix non visible dans la page publique","non, expédition Canada exclusivement","contact: info@myshroomycoffee.com","https://myshroomycoffee.com/","C","Transparence faible: pas de tableau de composition, dosage ni caféine visible; nombreuses répétitions de témoignages sur la page.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Cordyceps","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P3 — veille / ne pas recommander encore","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"AdaptoLatte","Original AdaptoLatte","Australie","poudre cacao-latte","Boisson tout-en-un avec extrait de café","3 — Pas vraiment du café, mais quand même","extrait de café dans une base cacao et coco","Lion's Mane; Cordyceps; Reishi; Chaga; Agaricus; astragale; curcuma; maca; shilajit; bacopa; ginkgo; L-théanine; rhodiola","12 g; 30 portions; 3 360 mg de champignons annoncés","80 mg","prix non extrait","non, marché Australie; expédition internationale à confirmer","programme public non identifié","https://adaptolatte.com/en-au/products/adaptolatte-powder","A","Ce n'est pas un café noir: produit cacao-latte très chargé en actifs; page officielle présente des dosages différents selon versions, vérifier l'étiquette.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","alternative au café / latte","non publiée","30","non publié","80","80","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Agaricus","5","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","alternative au café","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Alchemy Dose","MycoSynergy Mushroom Coffee","Inde","poudre instantanée","Café aux champignons et L-théanine","2 — Cafés artificiellement enrichis","Arabica indien lyophilisé","Lion's Mane; Cordyceps militaris; Reishi; Chaga; Turkey Tail; Suntheanine","2,5 g avec 500 mg ou 3 g avec 1 000 mg de champignons; 100 mg L-théanine","environ 50–60 mg dans la FAQ; autre texte 60–80 mg","945 INR / 10 portions en 500 mg; 1 350 INR / 10 portions en 1 000 mg","oui annoncé, expédition mondiale; frais à vérifier","programme public non identifié","https://alchemydose.com/products/super-shroom-coffee","A","Corps fructifères 8:1 double extraction; excellente transparence mais incohérence interne sur la caféine.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","10","non publié","50","80","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail","5","corps fructifère annoncé","double extraction annoncée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"The Nutra Company","Focus / Energy / Slim / Beauty Coffee","Inde","poudre instantanée en sachets","Gamme de cafés fonctionnels par objectif","2 — Cafés artificiellement enrichis","café instantané réel annoncé","Focus: L-théanine, Rhodiola, ginseng; Energy: Sensoril Ashwagandha, taurine, bêta-alanine; Beauty: collagène, acide hyaluronique; Slim: L-carnitine, Garcinia","dosages exacts à extraire par référence","non publiée","dès 420 INR; prix barré 599 INR","non, marché Inde","programme public non identifié","https://thenutracompany.co.in/","B","Une des rares gammes structurées en quatre bénéfices; vérifier chaque fiche et les allégations avant réemploi en France.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","énergie / usage quotidien","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Potential","Protein Functional Coffee","Inde","poudre instantanée en sachets","Café protéiné et nootropique","2 — Cafés artificiellement enrichis","café Arabica réel","whey; protéine de pois; L-théanine; enzymes digestives","15 g; 10 g de protéines; 70 mg L-théanine; 7 sachets","70 mg","699 INR / 7 sachets; 999 INR / 14 en offre","non, marché Inde","parrainage public: https://potentialfuel.com/pages/refer-and-earn","https://potentialfuel.com/products/potential-protein-functional-coffee","A","0 sucre; 53 kcal; caféine listée à la fois via Arabica et dans la liste d'ingrédients.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","7","non publié","70","70","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","10 g","non publié","non publié","non publié","sucre présent","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Shroomnest","Focus & Energy","Inde","poudre instantanée","Café aux champignons, nootropiques et adaptogènes","2 — Cafés artificiellement enrichis","base café revendiquée mais composition détaillée non extraite","champignons, nootropiques et adaptogènes non quantifiés sur la page d'accueil","4 g; 30 portions","non publiée","1 199 INR; prix barré 1 499 INR","non, marché Inde","programme public non identifié","https://www.shroomnest.com/","C","Se présente comme premier café adaptogène indien; niveau de détail public insuffisant pour comparer les doses.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café instantané","non publiée","30","non publié","à confirmer","à confirmer","non documenté","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","focus / cognition","P3 — veille / ne pas recommander encore","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Mahogany Organics","7 Mushrooms Mix Coffee","Inde","poudre instantanée","Café multi-champignons","2 — Cafés artificiellement enrichis","café instantané","Reishi/Ganoderma; Lion's Mane; Chaga; Cordyceps; Turkey Tail; Shiitake; Maitake","2 g recommandé; 200 g par pot; doses individuelles non publiées","annoncée plus basse qu'un café classique, sans valeur","1 150 INR / 200 g; prix barré 1 499 INR","non, marché Inde","contact: contact@mahoganyorganics.in","https://www.mahoganyorganics.in/products/mahogany-7-mushrooms-mix-coffee-with-beneficial-effects-of-seven-mushrooms-200g","B","Gamme comprenant aussi Gano, Lion's Mane et Cordyceps; manque de dosage et de caféine chiffrée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","200 g","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail; Maitake; Shiitake","7","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"MudShroom","MudShroom Coffee","Afrique du Sud","poudre instantanée","Café multi-champignons","2 — Cafés artificiellement enrichis","Arabica medium roast","Lion's Mane; Reishi; Chaga; Turkey Tail; MCT annoncé sur l'accueil mais absent de la liste produit","1–2 cuillères à café; 30 portions annoncées; doses non publiées","non publiée; seulement 'low caffeine'","349 ZAR / 100 g; 549 ZAR / 200 g; 929 ZAR / 300 g","non, livraison Afrique du Sud","contact: info@mudshroomcoffee.co.za","https://mudshroomcoffee.co.za/products/mud-shroom-coffee","B","Incohérences entre page d'accueil et fiche; le même sélecteur contient aussi chai/cacao sans café.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Turkey Tail","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Fungu","Fungu Chocolate Flavor","Espagne","poudre instantanée cacao-café","Café aux champignons, plantes et cacao","2 — Cafés artificiellement enrichis","extrait de café bio CO2","Lion's Mane; Cordyceps; Chaga; Ashwagandha; maca; Rhodiola; vitamine B5; cacao; xylitol","8 g; 30 portions; sac 240 g; doses des actifs non publiées","45 mg","22,49 € en promotion; 29,99 € prix barré","oui, expédition Espagne/UE à confirmer","programme public non identifié","https://fungu.es/producto/fungu/","A","Formulé en Espagne; sans sucre ajouté mais édulcoré au xylitol.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","0 g","45","45","faible (≤ 50 mg)","Lion's Mane; Chaga; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","xylitol; sans sucre annoncé","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"MYKOFI","Café con Hongos Funcionales","Espagne","poudre instantanée","Café multi-champignons et adaptogènes","2 — Cafés artificiellement enrichis","Arabica réel","Lion's Mane; Cordyceps; Reishi; Chaga; Maitake; Ashwagandha KSM-66; maca; vitamine B5","8 g; 30 portions; sac 240 g; page affiche des équivalences d'extraits dépassant le poids de portion","187 mg","34,95 € / 30 portions; temporairement épuisé sur une page","oui, fabriqué en Espagne; livraison UE probable","programme public non identifié; hello@drinkmykofi.com","https://drinkmykofi.es/products/mushroom-coffee","A","Très forte caféine pour le segment; les valeurs 2 500 mg par extrait semblent être des équivalences 10:1 et doivent être clarifiées.","2026-08-01","rupture ou disponibilité incertaine","source officielle accessible et revérifiée","café instantané","non publiée","30","0 g","187","187","élevée (> 100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Maitake","5","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.17 € / portion","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"nu3","Focus Mushroom Coffee","Allemagne / Italie / UE","poudre instantanée","Café aux champignons, maca et micronutriments","2 — Cafés artificiellement enrichis","extrait de Coffea robusta","Lion's Mane; Cordyceps sinensis; Chaga; maca; inuline; choline; zinc; B5; biotine","8 g; 500 mg Lion's Mane; 350 mg Cordyceps; 250 mg Chaga; 700 mg maca; 1 788 mg inuline; 15 portions","162 mg","16,99 € / 120 g","oui, vendu dans plusieurs pays UE","programme public non identifié","https://www.nu3.it/products/nu3-focus-mushroom-coffee","B","L'ancienne fiche officielle redirige vers Redcare Italie; dose élevée de caféine; disponibilité actuelle via détaillant à confirmer.","2026-08-01","vente directe non confirmée; redirection détaillant","URL officielle redirigée vers un détaillant","café instantané","non publiée","15","non publié","162","162","élevée (> 100 mg)","Lion's Mane; Chaga; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","moyen à élevé","non publiée","Source nu3 redirigée vers un détaillant; statut commercial direct à reconfirmer."
"RåHygge","Reishi Mushroom Coffee","Pays-Bas / Suède","grains ou moulu","Café aux champignons infusé","2 — Cafés artificiellement enrichis","Arabica bio de spécialité torréfié en Suède","Reishi double extrait","paquet d'environ 227 g; 4 540 mg de Reishi, soit 2 %","non publiée","prix non extrait","oui, boutique Benelux/UE à confirmer","contact B2B via site","https://www.rahygge.nl/","A","Café faible acidité annoncé pH 6,0; existe aussi en Lion's Mane et Tremella.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","non publiée","non publié","7 g","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Tremella","3","non publiée","double extraction annoncée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","moudre puis préparer comme un café classique","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Mushroom Coffee Spain","Mushroom Coffee","Espagne","30 sachets instantanés","Café multi-champignons","2 — Cafés artificiellement enrichis","Arabica réel","Lion's Mane; Cordyceps; Reishi; Turkey Tail; Shiitake; la page évoque aussi Chaga dans les bénéfices","5 g; 30 sachets; doses non publiées","moins qu'un espresso, valeur non publiée","prix non visible","oui, marché Espagne","programme public non identifié","https://www.mushroomcoffespain.com/","C","Site très récent et transparence limitée; incohérence entre liste principale à cinq champignons et mention de Chaga.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café instantané","non publiée","30","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail; Shiitake","6","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P3 — veille / ne pas recommander encore","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"DXN","Lingzhi Coffee 2 in 1","Malaisie / international","sachets instantanés","Café au Ganoderma historique","2 — Cafés artificiellement enrichis","café instantané","extrait de Ganoderma/Lingzhi","11 g; 20 sachets; dose de Ganoderma non publiée","non publiée","57 MYR en Malaisie Ouest; 40,40 MYR Est affichés","distribution internationale par réseau DXN; France à vérifier","réseau de vente directe DXN","https://www.dxn2u.com/product/product_det.php?lang=en&p=bev_ling21&pid=fb","A","Acteur historique avec une large gamme 2-en-1, 3-en-1, black coffee et Cordyceps; source corporate confirme l'importance commerciale.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","20","non publié","à confirmer","à confirmer","non documenté","Reishi; Cordyceps","2","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P1 — référence structurante","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Gano Excel","Gano Café 3-In-1","Malaisie / international","sachets instantanés","Café au Ganoderma historique","2 — Cafés artificiellement enrichis","café, crème non laitière et sucre","extrait de Ganoderma lucidum","dose non publiée","non publiée","prix variable via distributeurs","distribution internationale par vente directe; France à vérifier","réseau Gano Excel; info@ganoexcel.com","https://www.ganoexcel.com/language/Portugese/our-offer.html","A","Marque revendique le lancement du premier 3-en-1 au Ganoderma en 1997; formule sucrée.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","latte instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Reishi","1","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","sucre présent","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"ORGANO","Gourmet Black Coffee / Coffee range","Canada / international","sachets instantanés","Café au Ganoderma","2 — Cafés artificiellement enrichis","café Arabica/Robusta selon référence","Ganoderma lucidum","dose non publiée","environ 90–135 mg selon cafés ORGANO","prix variable via distributeurs","distribution internationale, présence France à vérifier","réseau de vente directe ORGANO","https://blog.organogold.com/mushroom-coffee-explained-health-benefits-brewing-tips-and-why-organos-blend-stands-out/","B","Acteur pionnier du réseau; composition, caféine et tarifs varient fortement par SKU et pays.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","90","135","élevée (> 100 mg)","Reishi","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P1 — référence structurante","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"NuSpira","NUCORE 6 Black Coffee","États-Unis","sticks instantanés","Café multi-champignons","2 — Cafés artificiellement enrichis","Arabica medium roast","Lion's Mane; Cordyceps; Reishi; Chaga; Turkey Tail; Shiitake","30 portions; dose totale de champignons non publiée","45 mg","45 $ achat ponctuel; 36 $ abonnement; 9,99 $ découverte 5 tasses","non, marché US","programme public non identifié","https://www.nuspira.com/","A","Six champignons bio; 45 mg de caféine; existe aussi en latte 24 portions.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","45","45","faible (≤ 50 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail; Shiitake","6","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1,20–1,50 $ / portion","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","Prix standard et abonnement ajoutés; 30 portions confirmées."
"FEELGOOD Company","Mushroom Coffee","États-Unis","sticks instantanés","Café à dix champignons","2 — Cafés artificiellement enrichis","poudre de café Arabica","Agaricus; Lion's Mane; Reishi; Tremella; Maitake; Chaga; Cordyceps; Turkey Tail; Oyster; Shiitake","dose des extraits non publiée","55–65 mg","42,99 $","non, marché US","programme public non identifié","https://feelgoodcompany.com/products/mushroom-coffee","A","Liste exhaustive mais aucune quantité de champignons indiquée.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","55","65","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail; Maitake; Shiitake; Tremella; Agaricus; Oyster","10","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Organic Bless","Mushroom Coffee","États-Unis","poudre instantanée latte","Café aux champignons et MCT","2 — Cafés artificiellement enrichis","café instantané dans base coco","Lion's Mane; Reishi; Cordyceps; huile MCT; lait de coco","1 890 mg de champignons; 12 000 mg MCT; 30 tasses annoncées","31 mg","31,99 $ ponctuel; premier abonnement 10 $ puis 19,99 $/mois annoncé","non, marché US","programme public non identifié; info@organic-bless.com","https://www.organic-bless.com/","A","Formule latte riche en lipides, à distinguer d'un café noir.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","latte instantané","non publiée","30","non publié","31","31","faible (≤ 50 mg)","Lion's Mane; Reishi; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Peak State Coffee","Variety Pack / Brain Sustain / Immunity Boost / Stress Less","États-Unis","grains entiers ou moulu","Café aux champignons infusé dans le grain","2 — Cafés artificiellement enrichis","cafés bio single-origin Éthiopie, Guatemala et Colombie","selon mélange: Lion's Mane; Cordyceps; Reishi; Chaga; Turkey Tail","500 mg d'extraits de corps fructifères par tasse; 22 tasses par sac","non publiée; varie selon torréfaction","79,95 $ / 3 x 12 oz; 63,96 $ abonnement","non, marché US","programme public non identifié","https://peakstatecoffee.com/products/variety-pack-functional-whole-bean-coffee","A","Processus d'infusion pendant torréfaction; rapports de laboratoires officiels disponibles.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","Colombie","22","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail","5","corps fructifère annoncé","incorporation/infusion au niveau du grain","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","moudre puis préparer comme un café classique","non calculable avec les données publiques","partielle","oui, annoncé; rapport à archiver","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
